"price","resid_area","air_qual","room_num","age","teachers","poor_prop","airportYES","n_hos_beds","n_hot_rooms","waterbodyLake","waterbodyLake and River","waterbodyRiver","rainfall","parks","Sold","avg_dist"
24,32.31,0.538,6.575,65.2,24.7,4.98,1,5.48,11.192,0,0,1,23,0.049347306,0,4.0875
21.6,37.07,0.469,6.421,78.9,22.2,9.14,0,7.332,12.1728,1,0,0,42,0.046145633,1,4.9675
34.7,37.07,0.469,7.185,61.1,22.2,4.03,0,7.394,46.19856,0,0,0,38,0.045763966,0,4.9675
33.4,32.18,0.458,6.998,45.8,21.3,2.94,1,9.268,11.2672,1,0,0,45,0.047150598,0,6.065
36.2,32.18,0.458,7.147,54.2,21.3,5.33,0,8.824,11.2896,1,0,0,55,0.039474005,0,6.0625
28.7,32.18,0.458,6.43,58.7,21.3,5.21,1,7.174,14.2296,0,0,0,53,0.045909647,1,6.06
22.9,37.87,0.524,6.012,66.6,24.8,12.43,1,6.958,12.1832,0,0,1,41,0.052169908,1,5.56
22.1,37.87,0.524,6.172,96.1,24.8,19.15,0,5.842,12.1768,1,0,0,56,0.057074901,1,5.95
16.5,37.87,0.524,5.631,100,24.8,29.93,1,5.93,12.132,0,0,0,55,0.056302495,0,6.0825
18.9,37.87,0.524,6.004,85.9,24.8,17.1,1,9.478,14.1512,0,0,1,45,0.050727252,0,6.59
15,37.87,0.524,6.377,94.3,24.8,20.45,0,6,11.12,1,0,0,29,0.057775258,1,6.3475
18.9,37.87,0.524,6.009,82.9,24.8,13.27,0,9.278,13.1512,0,1,0,23,0.055236508,1,6.225
21.7,37.87,0.524,5.889,39,24.8,15.71,1,5.534,10.1736,0,1,0,57,0.057423248,1,5.4525
20.4,38.14,0.538,5.949,61.8,19,8.26,1,5.908,14.1632,0,0,0,39,0.053463955,0,4.7075
18.2,38.14,0.538,6.096,84.5,19,10.26,0,6.964,13.1456,0,0,0,49,0.059882129,0,4.465
19.9,38.14,0.538,5.834,56.5,19,8.47,1,8.498,14.1592,0,0,1,28,0.059750758,0,4.4975
23.1,38.14,0.538,5.935,29.3,19,6.58,0,5.462,10.1848,0,0,0,46,0.054698587,0,4.5
